instruction	option_a	option_b	option_c	option_d	answer	id
"Considere el siguiente modelo AR(1) con perturbaciones con media cero y varianza unitaria

yt = 0.2 + 0.4 yt-1 + ut

La media (incondicional) de y se dará por"	0.2	0.4	0.5	0.33	D	econometrics/dev/1
Un hombre de 42 años acude a la consulta para evaluación preoperatoria antes de someterse a una adrenalectomía programada en 2 semanas. Hace un mes, recibió atención en el departamento de emergencias por dolor en su costado derecho después de un accidente automovilístico. En aquel momento, la presión arterial era de 160/100 mm Hg y la tomografía computarizada del abdomen mostró una masa adrenal izquierda incidental de 10 cm. Los resultados de los estudios de laboratorio, incluyendo el hemograma completo, las concentraciones de electrolitos séricos y las pruebas de función hepática, estaban dentro de los rangos de referencia. El paciente, por lo demás, gozaba de buena salud y nunca se le había informado que tenía la presión arterial elevada. No toma medicamentos. Una visita de seguimiento en la consulta hace 2 semanas reveló una elevación de las concentraciones de normetanefrina y metanefrina en orina y de aldosterona en plasma. El paciente fue referido a un cirujano, quien recomendó la adrenalectomía. Hoy, los signos vitales son una temperatura de 36.6°C (97.9°F), un pulso de 100/min, una respiración de 14/min, y una presión arterial de 170/95 mm Hg. El examen físico no revela hallazgos significativos. ¿Cuál de los siguientes tratamientos debería incluir la preparación preoperatoria inicial?	Labetalol	Una dosis de carga de cloruro de potasio	Nifedipino	Fenoxibenzamina	D	professional_medicine/dev/0
Según el “utilitarismo ideal” de Moore, la acción correcta es aquella que produce la mayor cantidad de:	placer.	felicidad.	bien.	virtud.	C	philosophy/dev/1
¿Cuál de las siguientes opciones no está incluida en el PIB de EE. UU.?	Las fuerzas armadas de EE. UU. abren una nueva base en un país extranjero con 1000 miembros del personal de EE. UU.	Los consumidores japoneses compran miles de CD producidos en los Estados Unidos.	Un cantante pop estadounidense ofrece un concierto con capacidad completa en París.	Una producción teatral francesa realiza una gira por docenas de ciudades estadounidenses.	C	high_school_macroeconomics/dev/0
¿Cuál de estas afirmaciones es cierta sobre el Vaticano en 2010 en el momento de las acusaciones de encubrimiento de abuso infantil?	Hubo una respuesta coordinada de los medios de comunicación.	Se comunicaron mensajes consistentes.	Las críticas fueron consideradas como ataques a la Iglesia Católica.	Se mantuvo la credibilidad del Vaticano.	C	public_relations/dev/2
"Supongamos que un estadístico de prueba tiene asociado un valor p de 0.08. ¿Cuál de las siguientes afirmaciones es verdadera?

(i) Si el tamaño de la prueba fuera exactamente del 8%, seríamos indiferentes entre rechazar o no rechazar la hipótesis nula

(ii) Se rechazaría la hipótesis nula si se utilizara un tamaño de prueba del 10%

(iii) No se rechazaría la hipótesis nula si se utilizara un tamaño de prueba del 1%

(iv) Se rechazaría la hipótesis nula si se utilizara un tamaño de prueba del 5%."	Solo (ii) y (iv)	Solo (i) y (iii)	Solo (i), (ii) y (iii)	(i), (ii), (iii) y (iv)	C	econometrics/dev/2
Cuando un argumentador causa confusión durante la refutación debido a una verdadera o fingida falta de habilidad para participar en la refutación, ese argumentador puede haber cometido la falacia de	falta de deportividad	apelación a la compasión	argumento contra la persona	ignorancia de la refutación	D	logical_fallacies/dev/4
"Esta pregunta se refiere a la siguiente información.
""La verdadera queja del trabajador es la inseguridad de su existencia; no está seguro de que siempre tendrá trabajo, no está seguro de que siempre estará sano y prevé que un día será viejo e inadecuado para trabajar. Si cae en la pobreza, incluso solo por una enfermedad prolongada, entonces queda completamente indefenso, entregado a sus propios recursos, y la sociedad actualmente no reconoce ninguna obligación real hacia él más allá de la asistencia habitual para los pobres, incluso si ha estado trabajando todo el tiempo siempre de manera fiel y diligente. Sin embargo, la asistencia habitual para los pobres deja mucho que desear, especialmente en las grandes ciudades, donde es mucho peor que en el campo.""
Otto von Bismarck, 1884
¿Por cuál de los siguientes temas es probable que Otto von Bismarck haya hecho este discurso como reacción?"	Aceptación social del trabajo infantil	Disminución de la esperanza de vida en Alemania	Críticas a las tarifas comerciales alemanas	Efectos negativos atribuidos al capitalismo industrial	D	high_school_world_history/dev/2
¿Qué gobierno japonés promovió un tipo de culto nacional basado en el emperador y sus asociaciones con los kami?	Honen	Tanaka	Tokugawa	Meiji	D	world_religions/dev/3
¿Cuál de las siguientes es la mejor lente a través de la cual investigar el papel de los niños soldados?	Los niños soldados son víctimas del combate que necesitan reeducación y rehabilitación.	Los niños y sus madres no son sujetos activos en la guerra y es mejor considerarlos como sujetos en la esfera privada.	Los niños son, en la mayoría de los casos, espectadores inocentes de la guerra y es mejor utilizarlos como signos de paz.	Los niños tienen subjetividad política que se pierde cuando se les considera víctimas pasivas de la guerra.	D	security_studies/dev/1
La energía para todas las formas de contracción muscular es proporcionada por:	ATP.	ADP.	fosfocreatina.	fosforilación oxidativa.	A	clinical_knowledge/dev/0
El ratio de concentración para un monopolio es	0	5	10	100	D	high_school_microeconomics/dev/2
En una población dada, 1 de cada 400 personas tiene un cáncer causado por un alelo completamente recesivo, b. Suponiendo que la población está en equilibrio de Hardy-Weinberg, ¿cuál de las siguientes es la proporción esperada de individuos que llevan el alelo b pero no se espera que desarrollen el cáncer?	1/400	19/400	20/400	38/400	D	college_biology/dev/1
¿Cuál es el destino más probable cuando los adultos mayores se mudan a un nuevo estado después de jubilarse?	Texas	California	Hawaii	Vermont	A	human_aging/dev/2
¿Quién es el hombre más bajo que ha ganado un concurso de mates de la NBA?	Anthony 'Spud' Webb	Michael 'Air' Jordan	Tyrone 'Muggsy' Bogues	Julius 'Dr J' Erving	A	miscellaneous/dev/2
Una solución contiene 2.00 moles de ácido acético, CH3COOH, y 1.00 mol de acetato de calcio, Ca(CH3COO)2. La solución puede resistir la adición de una pequeña cantidad de ácido o base fuerte con cambios solo menores en el pH de la solución. Cantidad mayores de ácido o base fuerte pueden causar un cambio significativo en el pH. ¿Cuántos moles de ácido nítrico, HNO3, se pueden agregar antes de que el pH comience a cambiar significativamente?	0.500 mol	1.00 mol	2.00 mol	3.00 mol	C	high_school_chemistry/dev/4
La explotación del error Heartbleed permite	sobrescribir claves criptográficas en memoria	una especie de inyección de código	una lectura fuera de los límites de un búfer	un ataque de cadena de formato	C	computer_security/dev/3
La ligasa de ADN es	una enzima que une fragmentos en la replicación normal del ADN	una enzima de origen bacteriano que corta el ADN en secuencias de bases definidas	una enzima que facilita la transcripción de genes específicos	una enzima que limita el nivel al que llega un nutriente particular	A	medical_genetics/dev/1
