instruction	option_a	option_b	option_c	option_d	answer	id
"Considérez le modèle AR(1) suivant avec des perturbations ayant une moyenne nulle et une variance unitaire

yt = 0,2 + 0,4 yt-1 + ut

La moyenne (inconditionnelle) de y sera donnée par"	0,2	0,4	0,5	0,33	D	econometrics/dev/1
Un homme de 42 ans se présente au cabinet pour une évaluation préopératoire avant de subir une adrénalectomie prévue dans 2 semaines. Il y a un mois, il a reçu des soins au service d'urgence pour une douleur au niveau de son flanc droit suite à un accident de voiture. À cette époque, sa tension artérielle était de 160/100 mm Hg et la tomodensitométrie de l'abdomen a révélé une masse surrénalienne gauche incidente de 10 cm. Les résultats des analyses de laboratoire, y compris la numération formule sanguine, les concentrations d'électrolytes sériques et les tests de la fonction hépatique, étaient dans les plages de référence. Le patient était par ailleurs en bonne santé et ne lui avait jamais été signalé qu'il avait une tension artérielle élevée. Il ne prend aucun médicament. Une visite de suivi au cabinet il y a 2 semaines a révélé une élévation des concentrations urinaires de la normétanéphrine et de la métanéphrine, ainsi que de l'aldostérone plasmatique. Le patient a été référé à un chirurgien, qui a recommandé l'adrénalectomie. Aujourd'hui, les constantes sont les suivantes : température 36,6 °C (97,9 °F), pouls 100/min, respiration 14/min et tension artérielle 170/95 mm Hg. L'examen physique ne révèle aucun résultat significatif. La préparation préopératoire initiale devrait inclure un traitement par lequel des éléments suivants ?	Labetalol	Une dose de charge de chlorure de potassium	Nifédipine	Phénoxybenzamine	D	professional_medicine/dev/0
Selon l'utilitarisme idéal de Moore, l'action correcte est celle qui produit le plus grand montant de :	plaisir.	bonheur.	bien.	vertu.	C	philosophy/dev/1
Quel élément suivant n'est pas inclus dans le PIB des États-Unis ?	L'armée américaine ouvre une nouvelle base dans un pays étranger avec 1 000 personnels américains.	Les consommateurs japonais achètent des milliers de CD produits aux États-Unis.	Un chanteur pop américain donne un concert complet à Paris.	Une production théâtrale française fait une tournée dans des dizaines de villes américaines.	C	high_school_macroeconomics/dev/0
Quelle de ces affirmations est vraie à propos du Vatican en 2010 au moment des accusations d'étouffement d'affaires d'abus d'enfants?	Il y a eu une réponse médiatique coordonnée.	Des messages cohérents ont été communiqués.	Les critiques ont été perçues comme des attaques contre l'Église catholique.	La crédibilité du Vatican a été maintenue.	C	public_relations/dev/2
"Supposons qu'un test statistique ait associé à lui une valeur p de 0,08. Lequel des énoncés suivants est vrai ?

(i) Si la taille du test était exactement de 8 %, nous serions indifférents quant à rejeter ou non l'hypothèse nulle

(ii) L'hypothèse nulle serait rejetée si une taille de test de 10 % était utilisée

(iii) L'hypothèse nulle ne serait pas rejetée si une taille de test de 1 % était utilisée

(iv) L'hypothèse nulle serait rejetée si une taille de test de 5 % était utilisée."	(ii) et (iv) seulement	(i) et (iii) seulement	(i), (ii), et (iii) seulement	(i), (ii), (iii), et (iv)	C	econometrics/dev/2
Lorsqu'un argumentateur provoque de la confusion lors de la réfutation en raison d'un manque réel ou simulé d'aptitude à s'engager dans la réfutation, cet argumentateur peut avoir commis la faute de	mauvais esprit sportif	appel à la compassion	argument contre la personne	ignorance de la réfutation	D	logical_fallacies/dev/4
"Cette question fait référence aux informations suivantes.
« La vraie plainte de l'ouvrier est l'insécurité de son existence ; il n'est pas sûr d'avoir toujours du travail, il n'est pas sûr d'être toujours en bonne santé, et il prévoit qu'un jour il sera vieux et incapable de travailler. S'il tombe dans la pauvreté, même si ce n'est que par une maladie prolongée, il est alors complètement impuissant, exam_ins à ses propres moyens, et la société ne reconnaît actuellement aucune obligation réelle envers lui au-delà de l'aide habituelle pour les pauvres, même s'il a travaillé tout le temps avec une grande fidélité et une grande diligence. L'aide habituelle pour les pauvres laisse cependant beaucoup à désirer, surtout dans les grandes villes, où elle est bien pire que dans les campagnes. »
Otto von Bismarck, 1884
Otto von Bismarck a probablement fait ce discours en réaction à quelles questions suivantes ?"	Acceptation sociale du travail des enfants	Baisse de l'espérance de vie en Allemagne	Critiques des tarifs commerciaux allemands	Effets négatifs attribués au capitalisme industriel	D	high_school_world_history/dev/2
Quel gouvernement japonais a promu une sorte de culte national basé sur l'empereur et ses associations avec les kami?	Honen	Tanaka	Tokugawa	Meiji	D	world_religions/dev/3
Quelle est la meilleure perspective pour étudier le rôle des enfants soldats ?	Les enfants soldats sont des victimes de combat qui ont besoin de rééducation et de réadaptation.	Les enfants et leurs mères ne sont pas des sujets actifs de la guerre et sont mieux considérés comme des sujets dans la sphère privée.	Les enfants sont le plus souvent des témoins innocents de la guerre et sont mieux utilisés comme signes de paix.	Les enfants ont une existence politique qui est ignorée lorsqu'on les considère comme des victimes passives de la guerre.	D	security_studies/dev/1
